"species_type_cd","spp_cd","common_name","scientific_name","itis_cd"
"1","ABDH","American Black Duck X Mallard Hybrid","Anas rubripes x platy.",
"1","ABDU","American Black Duck","Anas rubripes",175068
"5","ALGA","Algal bloom","--",
"4","ALTU","Albacore Tuna","Thunnus alalunga",172419
"1","AMBI","American Bittern","Botaurus lentiginosus",174856
"1","AMCO","American Coot","Fulica americana",176292
"1","AMCR","American Crow","Corvus brachyrhynchos",179731
"1","AMGO","American Goldfinch","Carduelis tristis",179236
"1","AMGP","American Golden Plover","Pluvialis dominica",176564
"1","AMKE","American Kestrel","Falco sparverius",175622
"1","AMOY","American Oystercatcher","Haematopus palliatus",176472
"1","AMPI","American Pipit","Anthus rubescens",554127
"1","AMRE","American Redstart","Setophaga ruticilla",178979
"1","AMRO","American Robin","Turdus migratorius",179759
"1","AMWI","American Wigeon","Anas americana",175094
"1","AMWO","American Woodcock","Scolopax minor",176580
"1","ANHI","Anhinga anhinga","Anhinga anhinga",174755
"5","ANTE","Antennae","--",
"1","APLO","Arctic Loon/Pacific Loon","Gavia arctica/pacifica",
"1","ARLO","Arctic Loon","Gavia arctica",174471
"1","ARTE","Arctic Tern","Sterna paradisaea",176890
"2","ASDO","Atlantic Spotted Dolphin","Stenella frontalis",552460
"1","ATPU","Atlantic Puffin","Fratercula arctica",177025
"1","ATSP","American Tree Sparrow","Spizella arborea",179432
"1","AUSH","Audubon's Shearwater","Puffinus iherminieri",174561
"1","AWPE","American White Pelican","Pelecanus erythrorhynchos ",174684
"1","BAEA","Bald Eagle","Haliaeetus leucocephalus",175420
"1","BAGO","Barrow's Goldeneye","Bucephala islandica",175144
"5","BAIT","bait ball","--",
"5","BALN","balloon","--",
"1","BANO","Barn Owl","Tyto alba",177851
"1","BANS","Bank Swallow","Riparia riparia",178436
"1","BAOR","Baltimore Oriole","Icterus galbula",179083
"1","BAOW","Barred Owl","Strix varia",177921
"1","BARS","Barn Swallow","Hirundo rustica",178448
"1","BASA","Baird's Sandpiper","Calidris bairdii",176655
"4","BASH","Basking Shark","Cetorhinus maximus",159907
"1","BAWW","Black-and-white Warbler","Mniotilta varia",178844
"1","BBCU","Black-billed Cuckoo","Coccyzus erythropthalmus",177834
"1","BBPL","Black-bellied Plover","Pluvialis squatarola",176567
"1","BBSP","Black-bellied Storm-petrel","Fregetta tropica",174655
"2","BBWH","Blainville's Beaked Whale","	Mesoplodon densirstris",
"1","BBWO","Black-backed Woodpecker","Picoides arcticus",178250
"1","BCCH","Black-capped Chickadee","Poecile atricapillus",554382
"1","BCNH","Black-crowned Night-Heron","Nycticorax nycticorax",174832
"1","BCPE","Black-capped Petrel","Pterodroma hasitata",174567
"5","BDDR","Blue Dasher Dragonfly","Pachydiplax longipennis",101799
"1","BEKI","Belted Kingfisher","Megaceryle alcyon",178106
"1","BEPE","Bermuda Petrel","Pterodroma cahow",174568
"2","BESE","Bearded Seal","Erignathus barbatus",180655
"1","BFAL","Black-footed Albatross","Diomedea nigripes",174516
"4","BFTU","Atlantic Bluefin Tuna","Thunnus thynnus",172421
"1","BGGN","Blue-gray Gnatcatcher","Polioptila caerulea",179853
"1","BHCO","Brown-headed Cowbird","Molothrus ater",179112
"1","BHGU","Common Black-headed Gull","Larus ridibundus",176835
"4","BIFI","billfishes","Istiophoridae spp.",172486
"4","BLAT","Blackfin Tuna","Thunnus atlanticus",172427
"1","BLBW","Blackburnian Warbler","Dendroica fusca",178904
"1","BLGU","Black Guillemot","Cepphus grylle",176985
"1","BLJA","Blue Jay","Cyanocitta cristata",179680
"1","BLKI","Black-legged Kittiwake","Rissa tridactyla",176875
"4","BLMA","Blue Marlin","Makaira nigricans",172491
"1","BLNO","Black Noddy","Anous minutus",176944
"1","BLOY","Black Oystercatcher","Haematopus bachmani",176475
"1","BLPW","Blackpoll Warbler","Dendroica striata",178913
"1","BLSC","Black Scoter","Melanitta nigra",175171
"4","BLSH","Blue Shark","Prionace glauca",160424
"1","BLSK","Black Skimmer","Rynchops niger",554447
"1","BLSP","Black Storm-petrel","Oceanodroma melania",174640
"5","BLST","Black Swallowtail","Papilio polyxenes ",188545
"1","BLTE","Black Tern","Chlidonias niger",176959
"4","BLUE","Bluefish","Pomatomus saltatrix",168559
"1","BLVU","Black Vulture","Coragyps atratus",175272
"2","BLWH","Blue Whale","Balaenoptera musculus",180528
"1","BNST","Black-necked Stilt","Himantopus mexicanus",176726
"5","BOAC","Boat--aircraft carrier","--",
"5","BOAT","Boat--unidentified","--",
"5","BOBA","boat--barge/barge and tug","--",
"1","BOBO","Bobolink","Dolichonyx oryzivorus",179032
"5","BOCA","Boat--cargo","--",
"5","BOCF","Boat--commercial fishing","--",
"5","BOCG","Boat--Coast Guard","--",
"1","BOCH","Boreal Chickadee","Poecile hudsonica",554386
"5","BOCR","Boat--cruise","--",
"5","BOCS","boat--container ship","--",
"2","BODO","Bottlenose Dolphin","Tursiops truncatus",180426
"5","BOFE","Boat--Ferry","--",
"5","BOFI","Boat--Fishing","--",
"1","BOGU","Bonaparte's Gull","Larus philadelphia",176839
"5","BOLO","boat--lobster","--",
"5","BOME","boat--merchant","--",
"5","BONA","Boat--navy","--",
"4","BONI","Bonito","Scombridae spp.",172398
"5","BOPL","Boat--pleasure","--",
"5","BOPS","boat--purseiner","--",
"5","BORF","Boat--recreational fishing","--",
"5","BORV","boat--research vessel","--",
"5","BOSA","Boat--sail","--",
"5","BOSU","Boat--submarine","--",
"5","BOTA","Boat--tanker","--",
"5","BOTD","boat--trawler/dragger","--",
"5","BOTU","boat--tug","--",
"1","BOWA","Bohemian Waxwing","Bombycilla garrulus",178529
"5","BOWW","boat--whale watch","--",
"5","BOYA","boat--yacht","--",
"1","BRAN","Brant","Branta bernicla",175011
"1","BRBL","Brewer's Blackbird","Euphagus cyanocephalus",179094
"1","BRBO","Brown Booby","Sula leucogaster",174704
"1","BRCR","Brown Creeper","Certhia americana",178803
"2","BRDO","Bridled Dolphin","Stenella attenuata/ frontalis",
"1","BRNO","Brown Noddy","Anous stolidus",176941
"1","BRPE","Brown Pelican","Pelecanus occidentalis",174685
"1","BRSP","Band-rumped Storm-petrel","Oceanodroma castro",174636
"1","BRTE","Bridled Tern","Sterna anaethetus",176897
"1","BRTH","Brown Thrasher","Toxostoma rufum",178627
"5","BSTB","Black Swallowtail Butterfly","Papilio polyxenes",188543
"1","BTBW","Black-throated Blue Warbler","Dendroica caerulescens",178888
"1","BTGR","Boat-tailed Grackle","Quiscalus major",179108
"1","BTGU","Black-tailed Gull","Larus crassirostris",176831
"1","BTNW","Black-throated Green Warbler","Dendroica virens",178898
"1","BUFF","Bufflehead","Bucephala albeola",175145
"5","BUMB","Unidentified Bee","--",
"5","BUOY","buoy","--",
"1","BUPE","Bulwer's Petrel","Bulweria  Bulweria",554144
"1","BUTE","Unidentified Buteo","Buteo spp.",175349
"1","BVSH","Black-vented Shearwater","Puffinus opisthomelas",554396
"1","BWTE","Blue-winged Teal","Anas discors",175086
"1","BWWA","Blue-winged Warbler","Vermivora pinus",178853
"1","CAAU","Cassin's Auklet","Ptychoramphus aleuticus",177013
"1","CACH","Carolina Chickadee","Poecile carolinensis",554383
"1","CAEG","Cattle Egret","Bubulcus ibis",174803
"1","CAGU","California Gull","Larus californicus",176829
"5","CAJE","Cannonball Jelly","Stomolophus meleagris",51926
"1","CANG","Canada Goose","Branta canadensis",174999
"1","CANV","Canvasback","Aythya valisineria",175129
"1","CARW","Carolina Wren","Thryothorus ludovicianus",178581
"1","CASW","Cave Swallow","Petrochelidon fulva",178460
"1","CATE","Caspian Tern","Sterna caspia",176924
"1","CAWA","Canada Warbler","Cardellina canadensis",950079
"2","CBWH","Cuvier's Beaked Whale","Ziphius cavirostris",180498
"1","CEDW","Cedar Waxwing","Bombycilla cedrorum",178532
"5","CHAN","Change in personnel, station, transect, etc.","--",
"1","CHAR","Unidentified Charadriiform","Charadriiformes spp.",176445
"1","CHIC","Unidentified Chickadee","--",
"1","CHSP","Chipping Sparrow","Spizella passerina",179435
"1","CHSW","Chimney Swift","Chaetura pelagica",178001
"2","CLDO","Clymene Dolphin","Stenella clymene",180435
"1","CLRA","Clapper Rail","Rallus longirostris",176209
"5","CLSU","Cloudless Sulphur","Phoebis sennae",777750
"1","CLSW","Cliff Swallow","Petrochelidon pyrrhonota",178455
"1","CMWA","Cape May Warbler","Dendroica tigrina",178887
"4","CNRA","Cownose Ray","Rhinoptera bonasus ",160985
"2","CODO","Common Dolphin","Delphinus delphis",180438
"1","COEI","Common Eider","Somateria mollissima",175155
"1","COGA","Common Gallinule","Gallinula galeata",708108
"1","COGO","Common Goldeneye","Bucephala clangula",175141
"1","COGR","Common Grackle","Quiscalus quiscula",179104
"1","COHA","Cooper's Hawk","Accipiter cooperii",175309
"1","COLO","Common Loon","Gavia immer",174469
"1","COME","Common Merganser","Mergus merganser",175185
"1","COMO","Common Moorhen","Gallinula chloropus",176284
"1","COMU","Common Murre (thin-billed murre, common guillemot)","Uria aalge",176974
"1","CONI","Common Nighthawk","Chordeiles minor",177979
"1","COPE","Cook's Petrel","Pterodroma cookii",554395
"1","CORA","Common Raven","Corvus corax",179725
"1","CORE","Common Redpoll","Carduelis flammea",179230
"1","COSH","Cory's Shearwater","Calonectris diomedea",203446
"1","COSN","Common Snipe","Gallinago gallinago",176700
"1","COTE","Common Tern","Sterna hirundo",176888
"1","COYE","Common Yellowthroat","Geothlypis trichas",178944
"1","CVSH","Cape Verde Shearwater","Calonectris edwardsii",723253
"1","DASC","Unidentified Dark scoter - black or surf","--",
"1","DCCO","Double-crested Cormorant","Phalacrocorax auritus",174717
"1","DEJU","Dark-eyed Junco","Junco hyemalis",179410
"1","DOVE","Dovekie","Alle alle",176982
"1","DOWI","Unidentified Dowitcher spp.","Limnodromus griseus or L. scolopaceus",176674
"1","DOWO","Downy Woodpecker","Picoides pubescens",178259
"2","DPSW","Unidentified Dwarf/Pygmy Sperm Whale","Kogia simus or K. breviceps",180490
"5","DRAG","dragonfly spp.","--",
"2","DSWH","Dwarf Sperm Whale","Kogia sima",180492
"1","DUNL","Dunlin","Calidris alpina",176661
"1","EABL","Eastern Bluebird","Sialia sialis",179801
"1","EAKI","Eastern Kingbird","Tyrannus tyrannus",178279
"1","EAME","Eastern Meadowlark","Sturnella magna",179034
"1","EAPH","Eastern Phoebe","Sayornis phoebe",178329
"1","EASO","Eastern Screech-Owl","Megascops asio",686658
"1","EATO","Eastern Towhee","Pipilo erythrophthalmus",179276
"1","EISC","Unidentified Eider/Scoter spp.","Melanitta/Somateria spp.",
"5","ERRO","error","--",
"1","EUOY","Eurasian Oystercatcher","Haematopus ostralegus",176469
"1","EUSP","European Storm-petrel","Hydrobates pelagicus",174663
"1","EUST","European Starling","Sturnus vulgaris",179637
"1","EUWI","Eurasian Wigeon","Anas penelope",175092
"1","EVGR","Evening Grosbeak","Coccothraustes vespertinus",179173
"4","FAAL","False Albacore","Euthynnus alletteratus",172402
"1","FALC","Unidentified falcon","Falco spp.",175598
"1","FEPE","Fea's Petrel","Pterodroma feae",562557
"1","FFSH","Flesh-footed Shearwater","Puffinus carneipes",174548
"5","FGGI","fixed gear--gill net","--",
"5","FGLO","fixed gear--lobster","--",
"5","FGUN","fixed gear--unidentified","--",
"1","FICR","Fish Crow","Corvus ossifragus",179737
"5","FIGE","fishing gear","--",
"4","FISH","Unidentified fish","Osteichthyes",161030
"1","FISP","Field Sparrow","Spizella pusilla",179443
"2","FIWH","Fin Whale","Balaenoptera physalus",180527
"2","FKWH","False Killer Whale","Pseudorca crassidens",180463
"5","FLJE","flotsam and jetsam","--",
"1","FOSP","Fox Sparrow","Passerella iliaca",179464
"1","FOTE","Forster's Tern","Sterna forsteri",176887
"2","FRDO","Fraser's Dolphin","Lagenodelphis hosei",180440
"1","FRGU","Franklin's Gull","Larus pipixcan",176838
"1","FTSP","Fork-tailed Storm-petrel","Oceanodroma furcata",174625
"5","FUEL","oil/fuel","--",
"1","GADW","Gadwall","Anas strepera",175073
"1","GBBG","Great Black-backed Gull","Larus marinus",176815
"1","GBHE","Great Blue Heron","Ardea herodias",174773
"1","GBHG","Unidentified Great Black-backed/Herring Gull","Larus marinus/argentatus",
"1","GBTE","Gull-billed Tern","Sterna nilotica",176926
"2","GBWH","Gervais' Beaked Whale","Mesoplodon europaeus",
"1","GCKI","Golden-crowned Kinglet","Regulus satrapa",179865
"1","GHGH","Glaucous Gull X Herring Gull (hybrid)","Larus hyperboreus X argentatus",
"1","GHOW","Great Horned Owl","Bubo virginianus",177884
"5","GISW","Giant Swallowtail Butterfly","Papilio cresphontes",
"1","GLGU","Glaucous Gull","Larus hyperboreus",176808
"1","GLIB","Glossy Ibis","Plegadis falcinellus",174924
"1","GOME","Unidentified Goldeneye or Merganser","--",
"4","GOMR","Giant Oceanic Manta Ray","Manta birostris",160992
"1","GRAJ","Gray Jay","Perisoreus canadensis",179667
"1","GRAK","Gray Kingbird","Tyrannus dominicensis",178280
"1","GRCA","Gray Catbird","Dumetella carolinensis",178625
"1","GRCO","Great Cormorant","Phalacrocorax carbo",174715
"5","GRDA","Green Darner","Anax junius",101598
"1","GREG","Great Egret","Ardea alba",554135
"1","GRFR","Great Frigatebird","Fregata minor",174766
"1","GRHE","Green Heron","Butorides Virescens",174793
"1","GRSC","Greater Scaup","Aythya marila",175130
"2","GRSE","Gray Seal","Halichoerus grypus",180653
"1","GRSH","Greater Shearwater","Puffinus gravis",174549
"1","GRSK","Great Skua","Stercorarius skua",660059
"1","GRSP","Grasshopper Sparrow","Ammodramus savannarum",179333
"3","GRTU","Green Turtle","Chelonia mydas",173833
"1","GRYE","Greater Yellowlegs","Tringa melanoleuca",176619
"1","GUTE","Unidentified Small Gull/Tern","--",
"1","GWFG","Greater White-fronted Goose","Anser albifrons",175020
"1","GWGU","Glaucous-winged Gull","Larus glaucescens",176814
"4","GWSH","Great White Shark","Carcharodon carcharias ",159903
"1","GWTE","Green-winged Teal","Anas crecca",175081
"1","HADU","Harlequin Duck","Histrionicus histrionicus",175149
"1","HAPE","Hawaiian Petrel","Pterodroma sandwichensis",562561
"2","HAPO","Harbor Porpoise","Phocoena phocoena",180473
"2","HASE","Harbor Seal","Phoca vitulina",180649
"4","HASH","Hammerhead shark","Sphyrnidae spp.",160497
"3","HATU","Hawksbill Turtle","Eretmochelys imbricata",173837
"1","HAWK","Unidentified hawk","--",
"1","HAWO","Hairy Woodpecker","Picoides villosus",178262
"1","HEPE","Herald Petrel","Pterodroma arminjoniana",174570
"1","HERG","Herring Gull","Larus argentatus",176824
"1","HETH","Hermit Thrush","Catharus guttatus",179779
"5","HOCR","Atlantic Horseshoe Crab","Limulus polyphemus",82703
"1","HOFI","House Finch","Carpodacus mexicanus",179191
"1","HOGR","Horned Grebe","Podiceps auritus",174482
"1","HOLA","Horned Lark","Eremophila alpestris",554256
"1","HOME","Hooded Merganser","Lophodytes cucullatus",175183
"1","HORE","Hoary Redpoll","Carduelis hornemanni",179231
"2","HOSE","Hooded Seal","Cystophora cristata",180657
"1","HOSP","House Sparrow","Passer domesticus",179628
"1","HOWA","Hooded Warbler","Wilsonia citrinis",178972
"1","HOWR","House Wren","Troglodytes aedon",178541
"2","HRPS","Harp Seal","Pagophilus groenlandicus",622022
"1","HUGO","Hudsonian Godwit","Limosa haemastica",176690
"2","HUWH","Humpback Whale","Megaptera novaeangliae",180530
"5","ICE","ice","--",
"1","ICGU","Iceland Gull","Larus glaucoides",176811
"1","INBU","Indigo Bunting","Passerina cyanea",179150
"1","IVGU","Ivory Gull","Pagophila eburnea",176851
"1","JFPE","Juan Fernandez Petrel ssp.","Pterodroma externa externa",174575
"1","JUNC","Unidentified junco","--",179409
"1","KIEI","King Eider","Somateria spectabilis",175160
"1","KILL","Killdeer","Charadrius vociferus",176520
"4","KIMA","King Mackerel","Scomberomorus cavalla",172435
"1","KIRA","King Rail","Rallus elegans",176207
"2","KIWH","Killer Whale","Orcinus orca",180469
"5","KRILL","Unidentified krill","--",
"3","KRST","Kemp's Ridley Sea Turtle","Lepidochelys kempii",551770
"1","KUGU","Kumlien's Gull","Larus glaucoides kumlieni",176813
"5","LABA","Latex balloon","--",
"1","LAGU","Laughing Gull","Larus atricilla",176837
"1","LALO","Lapland Longspur","Calcarius lapponicus",179526
"1","LBBG","Lesser Black-backed Gull","Larus fuscus",176821
"1","LBDO","Long-billed Dowitcher","Limnodromus scolopaceus",176679
"1","LBHE","Little Blue Heron","Egretta caerulea",174827
"1","LEAS","Least Storm-petrel","Oceanodroma microsoma",174646
"1","LENO","Lesser Noddy","Anous tenuirostris",176943
"1","LEOW","Long-eared Owl","Asio otus",177932
"1","LESA","Least Sandpiper","Calidris minutilla",176656
"1","LESC","Lesser Scaup","Aythya affinis",175134
"1","LESP","Leach's Storm-petrel","Oceanodroma leucorhoa",174628
"1","LETE","Least Tern","Sterna antillarum",176923
"3","LETU","Leatherback Turtle","Dermochelys coriacea",173843
"1","LEYE","Lesser Yellowlegs","Tringa flavipes",176620
"2","LFPW","Long-finned Pilot Whale","Globicephala melas",552461
"1","LIGU","Little Gull","Larus minutus",176840
"5","LINE","rope/line","--",
"1","LISH","Little Shearwater","Puffinus assimilis",174559
"1","LISP","Lincoln's Sparrow","Melospiza lincolnii",179484
"1","LITE","Little Tern","Sternula albifrons ",824124
"1","LONG","Unidentified Longspur","Calcarius spp.",179524
"1","LOSH","Loggerhead Shrike","Lanius ludovicianus",178515
"3","LOTU","Loggerhead Turtle","Caretta caretta",173830
"1","LSGB","Lesser Snow Goose, Blue Phase","Chen caerulescens",175038
"1","LSGW","Lesser Snow Goose, White phase","Chen caerulescens",175038
"2","LSSD","Long-snouted Spinner Dolphin","Stenella longirostris",180429
"1","LTDU","Long-tailed Duck","Clangula hyemalis",175147
"1","LTJA","Long-tailed Jaeger","Stercorarius longicaudus",176794
"1","MABO","Masked Booby","Sula dactylatra",174699
"5","MACR","macroalgae","--",
"1","MAFR","Magnificent Frigatebird","Fregata magnificens",174763
"1","MAGO","Marbled Godwit","Limosa fedoa",176686
"4","MAKO","Unidentified Long-finned/Short-finned Mako Shark","Isurus spp.",159923
"1","MALL","Mallard","Anas platyrhynchos",175063
"4","MAMA","Dolphin fish (Mahi-Mahi)","Coryphaena hippurus",168791
"4","MARA","Unidentified Manta Ray","Mobulidae",160990
"1","MASH","Manx Shearwater","Puffinus puffinus",174555
"1","MAWA","Magnolia Warbler","Dendroica magnolia",178886
"1","MAWR","Marsh Wren","Cistothorus palustris",178608
"1","MEAD","Unidentified Meadowlark","Sturnella  spp.",179033
"1","MEGU","Mew Gull","Larus canus",176832
"1","MERL","Merlin","Falco columbarius",175613
"2","MHDO","Melon-headed Whale","Peponocephala electra",180459
"2","MIWH","Minke Whale","Balaenoptera acutorostrata",180524
"1","MODO","Mourning Dove","Zenaida macroura",177125
"4","MOLA","Ocean Sunfish (Mola)","Mola mola",173414
"5","MONA","Monarch Butterfly","Danaus plexippus",117273
"5","MOON","Moon Jellyfish","Aurelia aurita",51701
"1","MOPL","Mountain Plover","Charadrius montanus",176522
"1","MOWA","Mourning Warbler","Oporornis philadelphia",178939
"1","MUSW","Mute Swan","Cygnus Olor",174985
"5","MYBA","Mylar balloon","--",
"1","MYWA","Myrtle Warbler","Dendroica c. coronata",178892
"2","NABW","North Atlantic Bottle-nosed whale","Hyperoodon ampullatus",180504
"1","NAWA","Nashville Warbler","Vermivora ruficapilla",178861
"1","NHOW","Northern Hawk Owl","Surnia ulula",177898
"1","NOBO","Northern Bobwhite","Colinus virginianus",175863
"1","NOCA","Northern Cardinal","Cardinalis cardinalis",179124
"1","NOFL","Northern Flicker","Colaptes auratus",178154
"1","NOFU","Northern Fulmar","Fulmarus glacialis",174536
"1","NOGA","Northern Gannet","Morus bassanus",174712
"1","NOGO","Northern Goshawk","Accipiter gentilis",175300
"1","NOHA","Northern Harrier","Circus cyaneus",175430
"1","NOMO","Northern Mockingbird","Mimus polyglottos",178620
"5","NONE","none","--",
