"species_type_cd","spp_cd","common_name","scientific_name","itis_cd"
"1","NOPA","Northern Parula","Parula americana",178868
"1","NOPI","Northern Pintail","Anas acuta",175074
"1","NOTE","Unidentified Noddy Tern","--",
"1","NOWA","Northern Waterthrush","Seiurus noveboracensis",178931
"1","NRWS","Northern Rough-winged Swallow","Stelgidopteryx serripennis",178443
"1","NSHO","Northern Shoveler","Anas clypeata",175096
"1","NSHR","Northern Shrike","Lanius excubitor",178511
"1","NSTS","Nelson's Sharp-tailed Sparrow","Ammodramus nelsoni",554031
"1","NSWO","Northern Saw-whet Owl","Aegolius acadicus",177942
"5","OCFR","ocean front","--",
"1","OCWA","Orange-crowned Warbler","Vermivora celata",178856
"1","OROR","Orchard Oriole","Icterus spurius",179064
"5","ORSU","Orange Sulphur","Colias eurytheme",188528
"1","OSPR","Osprey","Pandion haliaetus",175590
"1","OVEN","Ovenbird","Seiurus aurocapillus",178927
"4","OWTS","Oceanic Whitetip Shark (aka. Brown shark, brown Milbert's sand bar shark, nigano shark, silvertip shark))","Carcharhinus longimanus",160330
"1","PAJA","Parasitic Jaeger","Stercorarius parasiticus",176793
"1","PALO","Pacific Loon","Gavia pacifica",174475
"1","PAWA","Palm Warbler","Dendroica palmarum",178921
"1","PBGR","Pied-billed Grebe","Podilymbus podiceps",174505
"1","PECO","Pelagic Cormorant","Phalacrocorax pelagicus",174725
"1","PEEP","Unidentified peep","--",
"1","PEFA","Peregrine Falcon","Falco peregrinus",175604
"1","PELI","Unidentified Pelican","Pelecanus spp.",
"1","PESA","Pectoral Sandpiper","Calidris melanotos",176653
"1","PFSH","Pink-footed Shearwater","Puffinus creatopus",174547
"1","PHVI","Philadelphia Vireo","Vireo philadelphicus",
"1","PIGR","Pine Grosbeak","Pinicola enucleator",179205
"1","PIPL","Piping Plover","Charadrius melodus",
"1","PISI","Pine Siskin","Carduelis pinus",179233
"1","PIWA","Pine Warbler","Dendroica pinus",178914
"2","PIWH","Pilot Whale","Globicephala",180464
"1","PIWO","Pileated Woodpecker","Dryocopus pileatus",178166
"2","PKWH","Pygmy Killer Whale","Feresa attenuata",180460
"5","PLAS","plastic","--",
"5","PLBU","Painted Lady Butterfly","Vanessa cardui",188601
"5","PMOW","Portuguese Man o' War","Physalia physalis",719181
"5","POBE","Polar Bear","Ursus maritimus",180542
"1","POJA","Pomarine Jaeger","Stercorarius pomarinus",176792
"5","PONY","Pony","--",
"1","POSP","Polynesian Storm-petrel","Nesofregetta fuliginosa",174661
"1","PRAW","Prairie Warbler","Dendroica discolor",178918
"1","PROW","Prothonotary Warbler","Protonotaria citrea",178846
"2","PSDO","Pantropical Spotted Dolphin","Stenella attenuata",180430
"2","PSWH","Pygmy Sperm Whale","Kogia breviceps",180491
"1","PUFI","Purple Finch","Carpodacus purpureus",179186
"1","PUMA","Purple Martin","Progne subis",178464
"1","PUSA","Purple Sandpiper","Calidris maritima",176646
"1","RAZO","Razorbill","Alca torda",176971
"1","RBGR","Rose-breasted Grosbeak","Pheucticus ludovicianus",179139
"1","RBGU","Ring-billed Gull","Larus delawarensis",176830
"1","RBME","Red-breasted Merganser","Mergus serrator",175187
"1","RBNU","Red-breasted Nuthatch","Sitta canadensis",178784
"1","RBTR","Red-billed Tropicbird","Phaethon aethereus",174673
"1","RBWO","Red-bellied Woodpecker","Melanerpes carolinus",178195
"1","RCKI","Ruby-crowned Kinglet","Regulus calendula",179870
"5","RCKW","rockweed","Pilea microphylla",19133
"5","REBA","Red Bat","Lasiurus borealis",180016
"1","RECR","Red Crossbill","Loxia curvirostra",179259
"1","REDH","Redhead","Aythya americana",175125
"1","REDP","Common or Hoary Redpoll","Carduelis flammea/hornemanni",
"1","REEG","Reddish Egret","Egretta rufescens",174824
"1","REKN","Red Knot","Calidris canutus",176642
"1","REPH","Red Phalarope","Phalaropus fulicaria",554376
"1","REVI","Red-eyed Vireo","Vireo olivaceous",179021
"1","RFBO","Red-footed Booby","Sula sula",174707
"1","RHAU","Rhinoceros Auklet","Cerorhinca monocerata",177023
"1","RHWO","Red-headed Woodpecker","Melanerpes erythrocephalus",178186
"2","RIDO","Risso's dolphin","Grampus griseus",180457
"2","RISE","Ringed Seal","Pusa hispida",622018
"1","RITD","Ringed Turtle-Dove","Streptopelia risoria",177136
"2","RIWH","Right Whale","Eubalaena glacialis",180537
"1","RLHA","Rough-legged Hawk","Buteo lagopus",175373
"1","RNDU","Ring-necked Duck","Aythya collaris",175128
"1","RNEP","Ring-necked Pheasant","Phasianus colchicus",175905
"1","RNGR","Red-necked Grebe","Podiceps grisegena",174479
"1","RNPH","Red-necked Phalarope","Phalaropus lobatus",176735
"1","ROPI","Rock Pigeon","Columba livia",177071
"1","ROSP","Roseate Spoonbill","Platalea ajaja ",174941
"1","ROST","Roseate Tern","Sterna dougallii",176891
"1","ROSW","Rough-Winged Swallow","Stelgidopteryx sp.",178439
"1","ROYT","Royal Tern","Sterna maxima",176922
"1","RSHA","Red-shouldered Hawk","Buteo lineatus",175359
"2","RTDO","Rough-toothed Dolphin","Steno bredanensis",180417
"1","RTHA","Red-tailed Hawk","Buteo jamaicensis",175350
"1","RTHU","Ruby-throated Hummingbird","Archilochus colubris",178032
"1","RTLO","Red-throated Loon","Gavia stellata",174474
"1","RTTR","Red-tailed Tropicbird","Phaethon rubricauda",174679
"1","RUBL","Rusty Blackbird","Euphagus carolinus",179091
"1","RUDU","Ruddy Duck","Oxyura jamaicensis",175175
"1","RUGR","Ruffed Grouse","Bonasa umbellus",175790
"1","RUTU","Ruddy Turnstone","Arenaria interpres",176571
"1","RWBL","Red-winged Blackbird","Agelaius phoeniceus",179045
"1","SACR","Sandhill Crane","Grus canadensis",176177
"4","SAFI","Sargassumfish","Histrio histrio",164520
"1","SAGU","Sabine's Gull","Xema sabini",176866
"4","SAIL","Sailfish","Istiophorus platypterus",172488
"1","SAND","Sanderling","Calidris alba",176669
"5","SARG","Sargassum","--",11389
"1","SATE","Sandwich Tern","Sterna sandvicensis",176927
"1","SAVS","Savannah Sparrow","Passerculus sandwichensis",179314
"1","SBDO","Short-billed Dowitcher","Limnodromus griseus",176675
"1","SBGU","Slaty-backed Gull","Larus schistisagus",176816
"2","SBWH","Sowerby's Beaked Whale","Mesoplodon bidens",180515
"1","SCAU","Unidentified Scaup","Aythya marila or A. affinis",
"4","SCHA","Scalloped Hammerhead Shark","Sphyrna lewini",160508
"1","SCRE","Unidentified screech-owl","--",
"1","SCTA","Scarlet Tanager","Piranga olivacea",179883
"1","SEOW","Short-eared Owl","Asio flammeus",177935
"1","SEPL","Semipalmated Plover","Charadrius semipalmatus",176506
"1","SESA","Semipalmated Sandpiper","Calidris pusilla",176667
"2","SEWH","Sei Whale","Balaenoptera borealis",180526
"1","SEWR","Sedge Wren","Cistothorus platensis",178605
"2","SFWH","Short-finned Pilot Whale","Globicephala macrorhynchus",180466
"1","SHAG","Shag","Phalacrocorax aristotelis",174733
"4","SHAR","Unidentified shark","Elasmobranchii spp.",159786
"1","SHOR","Unidentified shorebird","--",
"4","SKTU","Skipjack Tuna","Katsuwonus pelamis",172401
"3","SMTU","Unidentified Small turtle - Loggerhead, Green, Hawksbill, or Kemp's Ridley","--",
"1","SNBU","Snow Bunting","Plectrophenax nivalis",179532
"1","SNEG","Snowy Egret","Egretta thula",174813
"1","SNGO","Snow Goose","Chen caerulescens",175038
"1","SNOW","Snowy Owl","Bubo scandiacus",686683
"1","SOGU","Sooty Gull","Larus hemprichii",176854
"1","SORA","Sora","Porzana carolina",176242
"1","SOSA","Solitary Sandpiper","Tringa solitaria",176615
"1","SOSH","Sooty Shearwater","Puffinus griseus",174553
"1","SOSP","Song Sparrow","Melospiza melodia",179492
"1","SOTE","Sooty Tern","Sterna fuscata",176894
"1","SPAR","Unidentified sparrow","Emberizidae",178838
"2","SPDO","Unidentified Spotted Dolphins (Atlantic or Pantropical)","Stenella spp.",180428
"1","SPEI","Spectacled Eider","Somateria fischeri",175161
"5","SPEN","Salmon Pens","--",
"1","SPGR","Spruce Grouse","Falcipennis canadensis",553896
"1","SPGU","Spectacled Guillemot","Cepphus carbo",176994
"4","SPMA","Spanish mackerels","Scomberomorus spp.",172434
"1","SPPI","Sprague's Pipit","Anthus spragueii",178499
"1","SPSA","Spotted Sandpiper","Actitis macularia",176612
"1","SPSK","South Polar Skua","Stercorarius maccormicki",660062
"2","SPWH","Sperm Whale","Physeter macrocephalus",180489
"1","SSHA","Sharp-shinned Hawk","Accipiter striatus",175304
"2","STDO","Striped Dolphin","Stenella coeruleoalba",180434
"1","STEI","Steller's Eider","Polysticta stelleri",175153
"1","STSA","Stilt Sandpiper","Calidris himantopus",554145
"1","STSH","Short-tailed Shearwater","Puffinus tenuirostris",174554
"5","SUBU","Sulfur Butterfly spp.","Coliadinae spp.",694016
"1","SUSC","Surf Scoter","Melanitta perspicillata",175170
"1","SWAL","Unidentified Swallow","Hirundinidae",178423
"1","SWAN","Unidentified Swan","Olor spp.",174993
"5","SWDA","Swamp Darner","Epiaeschna heros",101638
"4","SWFI","Unidentified Swordfish spp.","Xiphiidae spp.",172480
"1","SWIS","Swinhoe's Storm-petrel","Oceanodroma monorhis",174642
"1","SWSP","Swamp Sparrow","Melospiza georgiana",179488
"1","TAPE","Tahiti Petrel","Pseudobulweria rostrata",562522
"1","TBMU","Thick-billed Murre","Uria lomvia",176978
"2","TBWH","True's Beaked Whale","Mesoplodon mirus",
"1","TEWA","Tennessee Warbler","Vermivora peregrina",178855
"1","THGU","Thayer's Gull","Larus thayeri",176828
"4","THHE","Thread Herrings","Opisthonema spp.",161747
"1","TOSH","Townsend's Shearwater","Puffinus auricularis",174558
"5","TOWR","Tower","--",
"5","TRAN","transect point","--",
"1","TRES","Tree Swallow","Tachycineta bicolor",178431
"1","TRHE","Tricolored (Louisiana) Heron","Egretta tricolor ",
"1","TRSP","Tristram's Storm-Petrel","Oceanodroma tristrami",174641
"4","TUNA","Unidentified tuna","Scombridae",172398
"1","TUPU","Tufted Puffin","Fratercula cirrhata",177032
"3","TURT","Unidentified Sea Turtle","--",
"1","TUSW","Tundra Swan","Cygnus columbianus",174987
"1","TUTI","Tufted Titmouse","Baeolophus bicolor",554138
"1","TUVU","Turkey Vulture","Cathartes aura",175265
"1","UAHA","Unidentified Accipiter Hawk","Accipiter spp.",175299
"1","UALB","Unidentified Albatross","Diomedeidae spp.",174513
"5","UBAT","Unidentified Bat","--",
"1","UBBG","Unidentified Great or Lesser Black-backed Gull","Larus marinus/fuscus",
"2","UBKW","Unidentified Beaked Whale","Mesoplodon spp.",180506
"1","UBST","Bridled or Sooty Tern","Sterna anaethetus/fuscata",
"5","UBUT","Unidentified butterfly","--",
"1","UCAT","Common or Arctic Tern","Sterna hirundo/paradisaea",
"1","UCRT","Unidentified Common or Roseate Tern","Sterna hirundo/dougallii",
"1","UDAB","Unidentified dabbling duck","--",
"1","UDGS","Unidentified Duck, Goose, or Swan","Anseriformes spp.",174982
"4","UFFI","Unidentified flying fish","Exocoetidae spp.",165431
"5","UFOB","Unidentified flying object (animal-origin)","--",
"1","UGOO","Unidentified Goose","--",
"1","UGUI","Unidentified Guillemot","Cepphus spp.",176984
"1","UHGP","Unidentified Hawaiian Petrel or Galapagos Petrel","Pterodroma sandwichensis/phaeopygia",
"1","ULSB","Unidentified large shorebird","--",
"1","UNAL","Unidentified Alcid","Alcidae spp.",176967
"1","UNAM","Unidentified Seaside or Sharptailed Sparrow","Ammodramus spp.",179332
"1","UNBI","Unidentified Bird","Aves",174371
"1","UNBL","Unidentified Blackbird","Icteridae spp.",179030
"1","UNBO","Unidentified Booby","Sula spp.",174697
"2","UNBW","Unidentified Baleen Whale","Mysticeti spp.",552298
"1","UNCA","Unidentified Calidris (Sandpiper, Sanderling, Dunlin, Red Knot)","Calidris spp.",
"2","UNCD","Unidentified Common Dolphins","Delphinus spp.",180437
"2","UNCE","Unidentified Cetacean","Cetacea spp.",180403
"3","UNCH","Unidentified Cheloniidae species (Green Sea Turtle, Hawksbill Sea Turtle, and Flatback Sea Turtle)","Cheloniidae spp.",
"1","UNCO","Unidentified Cormorant","Phalacrocorax spp",174714
"1","UNCR","Unidentified Crow","Corvus spp.",179724
"5","UNCT","??","--",
"1","UNDD","Unidentified Diving/Sea Duck","Aythya spp.",175124
"2","UNDO","Unidentified Dolphin","Delphinidae",180415
"1","UNDU","Unidentified Duck","--",
"1","UNEG","Unidentified Egret","--",
"1","UNEI","Unidentified Eider","Somateria spp.",175154
"4","UNEL","Unidentified elasmobranch (Shark, Ray, Skate)","Elasmobranch",
"1","UNFI","Unidentified Finch","Carduelis spp.",179225
"1","UNFL","Unidentified Flycatcher","Empidonax spp.",178337
"1","UNFR","Unidentified Frigatebird","Fregata spp.",174762
"2","UNFS","Unidentified Fin/Sei whale","Balaenoptera physalus/Balaenoptera borealis",
"1","UNGB","Unidentified Goldeneye/Bufflehead","Bucephala spp.",175140
"2","UNGD","Unidentified Spotted or Bottlenose Dolphin","Stenella or Tursiops",
"1","UNGO","Unidentified Goldeneye","Bucephala spp.",175140
"1","UNGR","Unidentified Grebe","Podiceps spp.",174478
"1","UNGU","Unidentified Gull","--",
"1","UNHE","Unidentified Heron","--",
"1","UNHU","Unidentified Hummingbird","Trochilidae",
"1","UNJA","Unidentified Jaeger","Stercorarius spp.",176791
"5","UNJE","Unidentified jellyfish","Scyphozoa spp.",51483
"5","UNKN","unknown","--",
"1","UNLA","Unidentified large alcid (Razorbill or Murre)","--",
"2","UNLD","Unidentified Lagenorhynchus dolphin","Lagenorhynchus sp.",
"4","UNLF","Unidentified large fish","Osteichthyes spp.",161030
"1","UNLG","Unidentified Large Gull","--",
"1","UNLO","Unidentified Loon","Gavia spp.",174468
"1","UNLR","Unidentified large rail","Rallidae",176205
"1","UNLS","Unidentified Large Shearwater","--",
"1","UNLT","Unidentified large Tern","--",
"2","UNLW","Unidentified large whale","Cetacea spp.",180403
"1","UNME","Unidentified Merganser","--",
"2","UNMM","Unidentified Marine Mammal","Mammalia",179913
"5","UNMO","Unidentified Moth","--",
"1","UNMT","Unidentified medium tern","Sterna spp.",
"1","UNMU","Unidentified Murre","Uria spp.",176973
"1","UNNH","Unidentified Night Heron","--",
"1","UNNI","Unidentified Nighthawk","--",
"1","UNOR","Unidentified Oriole","Icterus spp.",179063
"1","UNOW","Unidentified Owl","Strigidae",177854
"1","UNPA","Unidentified Passerine (perching birds, songbirds)","--",
"1","UNPE","Unidentified Petrel","Procellariidae",174532
"1","UNPH","Unidentified Phalarope","Phalaropus spp.",176733
"2","UNPO","Unidentified porpoise","--",
"1","UNPR","Unidentified tubenose","Procellariidae",174532
"1","UNPT","Unidentified Pterodroma (petrels)","Pterodroma spp.",174566
"1","UNPU","Unidentified Puffin","Fratercula spp.",177024
"4","UNRA","Unidentified ray","Rajiformes spp.",160806
"2","UNRO","Unidentified Rorqual","Balaenopteridae spp.",180522
"1","UNRP","Unidentified Raptor/ bird of prey","--",
"1","UNSA","Unidentified small alcid (Puffin/Dovekie)","Alle alle/Fratercula arctica",
"1","UNSC","Unidentified Scoter","Melanitta spp.",175162
"2","UNSE","Unidentified Seal","Phocidae",180640
"4","UNSF","Unidentified small fish","Osteichthyes spp.",161030
"1","UNSG","Unidentified small gull","--",
"1","UNSH","Unidentified Shearwater","Procellariidae",174532
"1","UNSK","Unidentified Skua","Stercorarius spp.",176791
"1","UNSP","Unidentified Storm-petrel","--",
"4","UNSR","Unidentified stringray","Dasyatidae spp.",
"1","UNSS","Unidentified Small Shearwater (Audubon's, Manx, or Little)","Puffinus lherminieri , P. puffinus, or P. assimilis",
"1","UNST","Unidentified small Tern","Sterna spp.",176885
"1","UNSU","Unidentified Sulid","Sulidae spp.",174696
"2","UNSW","Unidentified small whale","Cetacea spp.",180403
"1","UNTA","Unidentified Tanager","--",
"1","UNTB","Unidentified Tropicbird","Phaethon spp.",174672
"1","UNTE","Unidentified Tern","Sterna spp.",176885
"1","UNTH","Unidentified Thrush","Turdidae spp.",179751
"1","UNTL","Unidentified Teal","--",
"4","UNTS","Unidentified thresher shark","--",
"2","UNTW","Unidentified Toothed Whales","Odontoceti spp.",180404
"1","UNVI","Unidentified Vireo","--",
"1","UNWA","Unidentified Warbler","--",
"2","UNWH","Unidentified Whale","Cetacea spp.",180403
"1","UNYE","Unidentified Yellowlegs","Tringa melanoleuca or T. flavipes",
"2","UNZI","Unidentified Ziphiid (beaked whale)","Ziphiidae",180493
"1","USAC","Unidentified small Accipiter","--",
"1","USAN","Unidentified Sandpiper","Scolopacidae spp.",176568
"1","USOW","Unidentified small owl","--",
"1","USSB","Unidentified small shorebird","--",
"2","UTSE","Unidentified True Seal","Phocidae spp.",180640
"1","VERM","Unidentified Vermivora","Vermivora",178851
"1","VESP","Vesper Sparrow","Pooecetes gramineus",179366
"1","VIRA","Virginia Rail","Rallus limicola",176221
"5","WAGL","Wandering Glider","Pantala flavescens",101801
"4","WAHO","Wahoo","Acanthocybium solandri",172451
"2","WALR","Walrus","Odobenus rosmarus",180639
"1","WAPI","Water Pipit","Anthus spinoletta",178489
"2","WBDO","White-beaked Dolphin","Lagenorhynchus albirostris",180442
"1","WBNU","White-breasted Nuthatch","Sitta carolinensis",178775
"1","WBSP","White-bellied Storm-petrel","Fregetta grallaria",174656
"1","WCSP","White-crowned Sparrow","Zonotrichia leucophrys",179455
"1","WCTE","White-cheeked Tern","Sterna repressa",176914
"1","WEGU","Western Gull","Larus occidentalis",176817
"1","WESA","Western Sandpiper","Calidris mauri",176668
"1","WEVI","White-eyed Vireo","Vireo griseus",178991
"1","WFSP","White-faced Storm-petrel","Pelagodroma marina",174621
"1","WHIB","White Ibis","Eudocimus albus",174930
"1","WHIM","Whimbrel","Numenius phaeopus",176599
"4","WHMA","White Marlin","Kajikia albida",768126
"1","WHTE","White Tern","Gygis alba",176954
"1","WILL","Willet","Catoptrophorus semipalmatus",176638
"2","WIMA","West Indian Manatee","Trichechus manatus",180684
"1","WIPH","Wilson's phalarope","Phalaropus tricolor",176736
"1","WIPL","Wilson's Plover","Charadrius wilsonia",176517
"1","WISN","Wilson's Snipe","Gallinago delicata",726048
"1","WISP","Wilson's Storm-petrel","Oceanites oceanicus",174650
"1","WITU","Wild Turkey","Meleagris gallopavo",176136
"1","WIWA","Wilson's Warbler","Wilsonia pusilla",178973
"1","WIWR","Winter Wren","Troglodytes troglodytes",178547
"1","WODU","Wood Duck","Aix sponsa",175122
"1","WOTH","Wood Thrush","Hylocichla mustelina",179777
"1","WRSA","White-rumped Sandpiper","Calidris fuscicollis",176654
"1","WRSP","Wedge-rumped Storm-petrel","Oceanodroma tethys",174638
"2","WSDO","Atlantic White-sided Dolphin","Lagenorhynchus acutus",180443
"1","WTSH","Wedge-tailed Shearwater","Puffinus pacificus",174550
"1","WTSP","White-throated Sparrow","Zonotrichia albicollis",179462
"1","WTTR","White-tailed Tropicbird","Phaethon lepturus",174676
"1","WWBT","White-winged Black Tern","Chlidonias leucopterus",176958
"1","WWCR","White-winged Crossbill","Loxia leucoptera",179268
"1","WWDO","White-winged Dove","Zenaida asiatica",177121
"1","WWGU","Unidentified white winged gull (Ross's Gull, Ivory Gull, Iceland Gull, Glaucous-winged Gull and Glaucous Gull)","genus Larus",
"1","WWSC","White-winged Scoter","Melanitta fusca",175163
"1","XAMU","Xantus' Murrelet","Synthliboramphus hypoleucus",177011
"1","YBCH","Yellow-breasted Chat","Icteria virens",178964
"1","YBCU","Yellow-billed Cuckoo","Coccyzus americanus",177831
"1","YBFL","Yellow-bellied Flycatcher","Empidonax flaviventris",178338
"1","YBSA","Yellow-bellied Sapsucker","Sphyrapicus varius",178202
"1","YCNH","Yellow-crowned Night Heron","Nyctanassa violacea",174842
"1","YESH","Yelkouan Shearwater","Puffinus yelkouan",562599
"4","YETU","Yellowfin Tuna","Thunnus albacares",172423
"1","YHBL","Yellow-headed Blackbird","Xanthocephalus xanthocephalus",179043
"1","YLGU","Yellow-legged Gull","Larus cachinnans",554270
"1","YNAL","Yellow-nosed Albatross","Thalassarche chlororhynchos",554452
"1","YRWA","Yellow-rumped Warbler","Dendroica coronata",178891
"1","YWAR","Yellow Warbler","Dendroica petechia",178878
"5","ZOOP","zooplankton","--",
